ar_name;shi_name;taqbilt;shi_taqbilt
تكنزة;Taknza;أنظريف;Anḍrif
أكادير أخراز;Agadir Axrraz;أنظريف;Anḍrif
أوتيل;Awtil;أنظريف;Anḍrif
تمرنوت;Tamrnut;أنظريف;Anḍrif
آيت احماد أسعيد;Ayt Ḥmad u Sɛid;أنظريف;Anḍrif
أنفيك;Anfik;أنظريف;Anḍrif
أولبن;Ulbn;أنظريف;Anḍrif
تورار;Tiwrar;أنظريف;Anḍrif
تنزكور;Tinzkur;أنظريف;Anḍrif
أنا أكرض;Afa Ugṛḍ;أنظريف;Anḍrif
أسغركيس;Asɣrgis;أنظريف;Anḍrif
إفولن;Ifulan;أنظريف;Anḍrif
آيت اسليمان;Ayt Sliman;أنظريف;Anḍrif
إفلحاس;Iflḥas;أنظريف;Anḍrif
آيت علي أداود;Ayt Ɛli u Dawd;أنظريف;Anḍrif
توفضات;Tunḍat;أنظريف;Anḍrif
أزور بوتوالا;Aẓur n Butwala;أنظريف;Anḍrif
تمجيشت;Tamjict;أنظريف;Anḍrif
آيت موس أ عبد الرحمان;Ayt Mus u Ɛbdṛṛḥman;آيت عين;Ayt Ɛin
تفغلان;Tifɣlan;آيت عين;Ayt Ɛin
تكديرت;Tagadirt;آيت عين;Ayt Ɛin
الحلت;Lḥlt;آيت عين;Ayt Ɛin
أناضلو;Anadlu;آيت عين;Ayt Ɛin
تاكنزة أمزيل;Taknza Umzil;آيت عين;Ayt Ɛin
آيت همو أوموسى;Ayt Hmmu u Musa;آيت عين;Ayt Ɛin
توودم;Twudm;آيت عين;Ayt Ɛin
أورير أباعوض;Awrir Ubɛuḍ;آيت عين;Ayt Ɛin
أولي;Awli;آيت عين;Ayt Ɛin
توريرت;Tawrirt;آيت عين;Ayt Ɛin
الخميس;Lxmis;آيت عين;Ayt Ɛin
إغيل;Iɣil;آيت عين;Ayt Ɛin
تادارت;Taddart;آيت عين;Ayt Ɛin
أنزكارن;Anzgarn;إساكن;Isagn
لازان;Lazal;إساكن;Isagn
إغير إسلكان;Iɣir Islgan;إساكن;Isagn
ونتود;Untud;إساكن;Isagn
تروف;Turuf;إساكن;Isagn
إغيل إبلاغن;Iɣil Iblaɣn;إساكن;Isagn
أكرض أوزرو;Agṛḍ Uẓṛu;إساكن;Isagn
أكني ;Agni ;إساكن;Isagn
الليون;Allyun;إساكن;Isagn
أكرض الما;Agṛḍ Alma;إساكن;Isagn
إمي وندرات;Imi Undrat;إساكن;Isagn
تدنغي وندرات;Tidnɣi Undrat;إساكن;Isagn
مزكن;Mrgn;إساكن;Isagn
توريرت إمركن;Tawrirt Imrkn;إساكن;Isagn
إغير إفر;Iɣir Ifr;إساكن;Isagn
تيعي;Tiqqi;إساكن;Isagn
ماغوست;Maɣust;إساكن;Isagn
أنامر ;Anammr;إساكن;Isagn
تيفرت;Tifrt;إساكن;Isagn
إدالس;Idls;إساكن;Isagn
تالتمسن;Taltmsn;إساكن;Isagn
إبناون;Ibnnawn;إساكن;Isagn
تاكضيشت;Tagḍict;إساكن;Isagn
إمي نتغزوت;Imi n Tɣzut;إساكن;Isagn
ألما;Alma;إساكن;Isagn
آيت ناصر;Ayt Naṣṛ;إساكن;Isagn
أكني ازكارن;Agni Inzgarn;إزور إغالن;Azul Iɣaln
إمزي;Imzi;أزور إغالن;Azul Iɣaln
تيليلوت;Tililut;أزور إغالن;Azul Iɣaln
أكرض نعمر;Agṛḍ n Ɛmr;أزور إغالن;Azul Iɣaln
تازكا;Taẓkka;أزور إغالن;Azul Iɣaln
فودغار;Fudɣar;أزور إغالن;Azul Iɣaln
إنجارن;Injjarn;أزور إغالن;Azul Iɣaln
أوكنز;Awgnz;أزور إغالن;Azul Iɣaln
تيزي ازوريغالن;Tizi;أزور إغالن;Azul Iɣaln
آيت موس;Ayt Mus;أزور إغالن;Azul Iɣaln
تيزي زمور;Tizi Uzmmur;أزور إغالن;Azul Iɣaln
آيت مسعود;Ayt Msɛud;ازوريغالن;Azul Iɣaln
أكلميم;Agʷlmim;ازوريغالن;Azul Iɣaln
